,event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
0,39,56,56,5073507,5222090,7481220,8,1000,0,0,9
1,40,73,125,1892991,1907823,7469567,5,1002,2,4,2
2,41,98,223,29382,30482,7431854,3,1007,1,0,3
3,42,54,277,2983825,2999660,7429092,12,1011,1,0,7
4,43,54,327,4639245,4646245,7434288,6,1015,2,4,2
