,event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
0,39,69,69,2973227,3092219,7463273,21,1000,0,0,2
1,40,72,137,2054559,2069630,7457238,19,1001,2,4,1
2,41,93,230,69282,71596,7427414,4,1008,1,0,2
3,42,60,286,2060772,2079261,7423736,14,1010,2,4,0
4,43,65,347,2973410,2986710,7421605,22,1015,2,4,2
