,event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
0,39,61,61,4248325,4396164,7474265,10,1000,0,0,1
1,40,60,113,4320032,4323212,7481121,9,1002,3,8,4
2,41,49,162,3984175,3996752,7478471,2,1004,1,0,7
3,42,70,228,899642,914910,7465653,40,1004,2,4,4
4,43,82,302,840470,844260,7452251,1,1006,3,8,2
