,event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
0,39,73,73,2411520,2510135,7457964,3,1000,0,0,10
1,40,75,148,1574232,1591033,7446870,33,1002,1,0,9
2,41,36,184,6036368,6041935,7460930,16,1005,1,0,3
3,42,60,240,2060772,2079262,7456100,35,1006,2,4,2
4,43,55,291,4485194,4492959,7460322,15,1009,2,4,1
