,event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
0,39,92,92,660372,682123,7440267,6,1000,0,0,8
1,40,56,148,5045432,5055420,7446870,7,1002,1,0,-1
2,41,61,209,2150041,2164594,7441390,14,1004,1,0,3
3,42,54,259,2999803,3016743,7441312,26,1008,2,4,7
4,43,70,329,2227326,2247051,7432891,28,1011,1,0,-1
