,event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
0,39,61,61,4248325,4396153,7474265,2,1000,0,0,0
1,40,63,124,3548210,3708058,7469744,2,1000,0,0,3
2,41,63,187,1899972,1912391,7458464,6,1003,2,0,2
3,42,76,259,473835,484924,7441312,3,1002,2,4,2
4,43,98,357,85299,88782,7415687,0,1008,1,0,7
